network,code,province,location,digitizer_type,UPT,longitude,latitude
IA,BTSPI,Papua,"BonggoTimur,Sarmi",Quantera-Q8-2023-Idirect,Stageof-Angkasa,139.7042,-2.3779
IA,BUBSI,SulawesiTengah,Bunta Banggai,Quantera-Q8-2023-Idirect,Stageof-Palu,122.207,-0.855
IA,BUJI,JawaTengah,"Buayan,Kebumen",Kinemetrics-Q330S+2019-Idirect,Stageof-Banjarnegara,109.46133,-7.75603
IA,BUKI,KalimantanTimur,Berau,GuralpMinimus+2021-GSM,Stageof-Balikpapan,118.709328,1.25163
IA,BUMSI,SulawesiTengah,"Bungku-Utara,Morowali-Utara",Nanometrics-Centaur-2022-Idirect,Stageof-Palu,121.3346,-1.977807
IA,BUSI,Aceh,"BandarBaru,PidieJaya",Nanometrics-Centaur-2019-GSM,Stageof-Aceh-Besar,96.243,5.2445
IA,BWJI,JawaTimur,"Bawean,Gresik",Nanometrics-Centaur-2023-VSATPSN,Stageof-Pasuruan,112.6578,-5.8511
IA,BYJI,JawaTimur,Banyuwangi,Nanometrics-Centaur-2023-GSM,Stageof-Pasuruan,114.3556,-8.2146
IA,BYLI,NTB,"Bayan,LombokUtara",Nanometrics-Centaur-2019-GSM,Stageof-Mataram,116.4202,-8.2272
IA,CASI,Aceh,Calang,Meisei-G210P-2018-GSM,Stageof-Aceh-Besar,95.576,4.6288
IA,CBJI,JawaBarat,"Citeko,Bogor",Nanometrics-Centaur-2023-GSM,Stageof-Sukabumi,106.9349,-6.6981
IA,CBJM,JawaBarat,"Cipongkor,BandungBarat",Nanometrics-Centaur-2019-GSM,Stageof-Bandung,107.2117,-6.57
IA,CCJM,JawaBarat,"Campaka,Cianjur",Nanometrics-Centaur-2019-GSM,Stageof-Sukabumi,107.1401,-7.0166
IA,CGJI,Banten,"Cigeulis,Pandeglang",GuralpMinimus+2021-GSM,Stageof-Tangerang,105.6929,-6.6134
IA,CIJI,JawaBarat,"Cipedes,KotaTasikmalaya",Kinemetrics-Q330S+2019-Idirect,Stageof-Bandung,108.19589,-7.31741
IA,CIJM,JawaBarat,"Cikedung,Indramayu",Nanometrics-Centaur-2019-GSM,Stageof-Bandung,108.1853,-6.4926
IA,CIKJI,JawaBarat,Cibuaya-Karawang,Guralp-Minimus+2023-Idirect,Stageof-Bandung,107.347374,-6.041924
IA,CILJI,Banten,"Cibeber,Lebak",Quantera-Q8-2023-Idirect,Stageof-Tangerang,106.316,-6.822
IA,CMJI,JawaBarat,Cimerak,Nanometrics-Centaur-2007-GSM,Stageof-Bandung,108.4486,-7.7837
IA,CNJI,JawaBarat,Cibinong,Nanometrics-Centaur2023-GSM,Stageof-Sukabumi,107.1296,-7.3091
IA,CSBJI,JawaBarat,"Compreng,Subang",Guralp-Minimus+2023-Idirect,Stageof-Bandung,107.881737,-6.404687
IA,CSJI,JawaBarat,"Ciracap,Sukabumi",Kinemetrics-Q330S+2019-GSM,Stageof-Sukabumi,106.52107,-7.3301
IA,CSJM,JawaBarat,"Congeang,Sumedang",Nanometrics-Centaur-2019-Libra,Stageof-Bandung,108.0099,-6.7405
IA,CTJI,JawaTengah,"WadukCacaban,Tegal",Nanometrics-Centaur-2022-GSM,Stageof-Banjarnegara,109.1835,-7.0075
IA,CWJM,JawaBarat,"CikalongWetan,BandungBarat",Nanometrics-Centaur-2019-GSM,Stageof-Bandung,107.4448,-6.7423
IA,DBJI,JawaBarat,"Dramaga,Bogor",Guralp-Minimus+2024-GSM,Stageof-Sukabumi,106.7436,-6.5542
IA,DBKI,KalimantanTengah,"DusunSelatan,BaritoSelatan",Nanometrics-Centaur-2019-GSM,Stageof-Balikpapan,114.9081,-1.6792
IA,DBNFM,NTB,Donggo,Kinemetrics-Q330S+2020-Idirect,Stageof-Mataram,118.5948,-8.424
IA,DBNI,NusaTenggaraBarat,"Manggalewa,Dompu",Guralp-Minimus+2024-Idirect,Stageof-Mataram,118.312134,-8.501936
IA,DDSI,Riau,DumaiTimur,Nanometrics-Centaur-2019-Idirect,Stageof-Deli-Serdang,101.4603,1.6677
IA,DNP,Bali,Denpasar,Nanometrics-Centaur-2024-GSM,Stageof-Denpasar,115.2097,-8.6773
IA,DOCM,SulawesiTengah,Donggala,Nanometrics-Centaur-2019-GSM,Stageof-Palu,119.7487,-0.6758
IA,DSRI,KepulauanRiau,"Singkep,Lingga",Guralp-Minimus+2024-Idirect,Stageof-Padang-Panjang,104.5778,-0.4793
IA,DYPI,Papua,"Dekai,Yakuhimo",Nanometrics-Centaur-2019-Libra,Stageof-Jayapura-Jayapura,139.4991,-4.8521
IA,EDFI,NTT,"Ende,Flores",Nanometrics-Centaur-2023-GSM,Stageof-Kupang,121.6903,-8.7497
IA,EDMPI,Papua,"Edera,Mappi",Quantera-Q8-2023-Idirect,Stageof-Angkasa,139.585,-7.175
IA,EGSI,Bengkulu,Enggano,GuralpMinimus+2024-GSM,Stageof-Kepahiang,102.2767,-5.3526
IA,ELMPI,Papua,"Eligobel,Merauke",Quantera-Q8-2023-Idirect,Stageof-Angkasa,140.789,-7.489
IA,ESNI,NTB,"Empang,Sumbawa",GuralpMinimus+2021-Idirect,Stageof-Mataram,117.965843,-8.7875
IA,FAKI,PapuaBarat,Fakfak,Kinemetrics-Q330-2014-Idirect,Stageof-Sorong,132.265,-2.9192
IA,FKMPM,Papua,"Kurik,Merauke",Kinemetrics-Q330S+2020-GSM,Stageof-Jayapura-Jayapura,140.2666,-8.2515
IA,FKSPI,PapuaBarat,"Sawiat,SorongSelatan",Quantera-Q8-2023-Idirect,Stageof-Sorong,132.016,-1.1594
IA,GARPI,PapuaBarat,"PulauGag,RajaAmpat",Quantera-Q8-2023-Idirect,Stageof-Sorong,129.9,-0.43465
IA,GBJI,JawaTengah,"Gringsing,Batang",Kinemetrics-Q330S+2019-GSM,Stageof-Banjarnegara,109.9762,-6.9533
IA,GEBBI,Bali,"Gerokgak,Buleleng",Quantera-Q8-2023-Idirect,Stageof-Denpasar,114.714,-8.164
IA,GEJI,JawaTimur,"Gedangan,Malang",Kinemetrics-Q330S+2019-GSM,Stageof-Malang,112.5901,-8.3469
IA,GENI,Papua,Genyem,Kinemetrics-Q330-2009-GSM,Stageof-Jayapura-Jayapura,140.1677,-2.5926
IA,GESM,Aceh,"Geumpang,Pidie",Nanometrics-Centaur-2019-GSM,Stageof-Aceh-Besar,96.1278,4.8421
IA,GGJM,JawaTengah,"Gabus,Grobogan",Nanometrics-Centaur-2019-GSM,Stageof-Banjarnegara,111.203525,-7.171615
IA,GHMI,MalukuUtara,"GaneBarat,HalmaheraSelatan",Nanometrics-Centaur-2019-GSM,Stageof-Ternate,127.8497,-0.3563
IA,GKJM,Yogyakarta,"Gedangsari,Gunung-Kidul",Nanometrics-Centaur-2019-GSM,Stageof-Sleman,110.5922,-7.8411
IA,GLMI,MalukuUtara,"Galela,HalmaheraUtara",Guralp-Minimus+2024-Idirect,Stageof-Ternate,127.788,1.83803
IA,GMJI,JawaTimur,Gumukmas,Nanometrics-Centaur-2019-GSM,Stageof-Malang,113.4441,-8.2732
IA,GPSM,Aceh,"Geumpang,Pidie",Nanometrics-Centaur-2019-GSM,Stageof-Aceh-Besar,96.090423,4.869346
IA,GRJI,JawaTimur,Gresik,Nanometrics-Centaur-2017-GSM,Stageof-Pasuruan,112.4793,-6.9145
IA,GSI,SumateraUtara,"Gunungsitoli,Nias",Kinemetrics-Q330S+2025-Idirect,Stageof-Gunung-Sitoli,97.5754,1.3036
IA,GTJI,JawaTengah,"Gemawang,Temanggung",Kinemetrics-Q330S+2022-Idirect,Stageof-Banjarnegara,110.184,-7.1638
IA,GTOI,Gorontalo,Gorontalo,GuralpMinimus+2022-GSM,Stageof-Gorontalo,122.87,0.7628
IA,GTSI,Riau,"GunungToar,KuantanSingingi",Nanometrics-Centaur-2019-GSM,Stageof-Padang-Panjang,101.4887,-0.5981
IA,GUJM,JawaTengah,"Gubug,Grobogan",Nanometrics-Centaur-2019-GSM,Stageof-Banjarnegara,110.666353,-7.054276
IA,HINSI,SumateraUtara,"Hibala,Nias Selatan",Quantera-Q8-2023-Idirect,Stageof-Gunung-Sitoli,98.499,-0.54
IA,IATSM,Aceh,"Idi,AcehTimur",Kinemetrics-Q330S+2020-GSM,Stageof-Aceh-Besar,97.7845,4.9241
IA,IBTI,NTT,"IleBoleng,FloresTimur",Nanometrics-Centaur-2019-GSM,Stageof-Alor,123.2584,-8.3857
IA,IGBI,Bali,Ingas,Guralp-Minimus-2024-Idirect,Stageof-Denpasar,115.1456,-8.8181
IA,IHMI,MalukuUtara,"Ibu,HalmaheraBarat",Nanometrics-Centaur-2019-Libra,Stageof-Ternate,127.5555,1.5082
IA,IHRSI,Riau,IndragiriHilir,GuralpMinimus+2021-GSM,Stageof-Padang-Panjang,102.764519,-0.9652
IA,IWPI,PapuaBarat,"Rasiei,TelukWondama",Nanometrics-Centaur-2019-GSM,Stageof-Sorong,134.5163,-2.7579
IA,JAASI,Aceh,"Jeumpa,AcehBaratDaya",Quantera-Q8-2023-Idirect,Stageof-Aceh-Selatan,96.82,3.766
IA,JAGI,JawaTimur,Jajag,Kinemetrics-Q330-2008-GSM,Stageof-Malang,114.152,-8.4703
IA,JASI,SumateraBarat,"Sangir-BalaiJanggo,Solok-Selatan",Kinemetrics-Q330S+2019-GSM,Stageof-Padang-Panjang,101.45838,-1.41453
IA,JAY,Papua,Jayapura,Nanometrics-EuropaT-2009-Libra-CTBTO,Stageof-Jayapura,140.7043,-2.5145
IA,JBJI,JawaBarat,"Jasinga,Bogor",Kinemetrics-Q330S+2019-GSM,Stageof-Sukabumi,106.4698517,-6.483735
IA,JBJM,JawaTengah,"Jepon,Blora",Nanometrics-Centaur-2019-GSM,Stageof-Banjarnegara,111.4587,-6.9729
IA,JCJI,JawaBarat,Jatiwangi,Nanometrics-Centaur-2020-GSM,Stageof-Bandung,108.2631,-6.7344
IA,JHMI,MalukuUtara,"Jailolo,Halmahera-Barat",Nanometrics-Centaur6-2019-GSM,Stageof-Ternate,127.478,1.0756
IA,JMSI,Jambi,"Jangkat,Merangin",Kinemetrics-Q330S+2019-GSM,Stageof-Kepahiang,101.88745,-2.63715
IA,JPJI,JawaBarat,"Jatiluhur,Purwakarta",Kinemetrics-Q330S+2019-Idirect,Stageof-Bandung,107.41757,-6.5306583
IA,JPSI,SumateraBarat,"Jurai,Pesisir-Selatan",Kinemetrics-Q330S+2019-Idirect,Stageof-Padang-Panjang,100.58645,-1.34164
IA,JSBFM,NTB,Jereweh,Kinemetrics-Q330S+2020-GSM,Stageof-Mataram,116.8164,-8.8717
IA,JSRJI,JawaTengah,"Jenar,Sragen",Guralp-Minimus+2024-Idirect,Stageof-Banjarnegara,111.1176,-7.33624
IA,JTJM,JawaBarat,"Jampang-Tengah,Sukabumi",Nanometrics-Centaur-2019-GSM,Stageof-Sukabumi,106.8015,-7.0573
IA,JWJM,JawaTengah,"Juwangi,Boyolali",Nanometrics-Centaur-2019-GSM,Stageof-Banjarnegara,110.7527,-7.2062
IA,KABKI,KalimantanTimur,"Bongan,KutaiBarat",Guralp-Minimus+2023-Idirect,Stageof-Balikpapan,116.241898,-0.750684
IA,KAKKI,KalimantanTimur,"Karangan,KutaiTimur",Guralp-Minimus+2023-Idirect,Stageof-Balikpapan,117.750031,1.366887
IA,KARPI,PapuaBarat,"Kabare,RajaAmpat",Quantera-Q8-2023-Idirect,Stageof-Sorong,130.991,-0.061
IA,KASAI,Aceh,"Kota-Baharu,Aceh-Singkil",Nanometrics-Centaur-2022-Idirect,Stageof-Aceh-Selatan,97.858239,2.491893
IA,KASI,Lampung,"Semaka,Tanggamus",Guralp-Minimus+2024-Idirect,Stageof-Lampung-Utara,104.495964,-5.52361
IA,KBBI,Bali,"Kintamani,Bangli",Kinemetrics-Q330S+2019-GSM,Stageof-Denpasar,115.2547,-8.286
IA,KBJM,JawaTengah,"Kunduran,Blora",Nanometrics-Centaur-2019-GSM,Stageof-Banjarnegara,111.2329,-7.0505
IA,KBKI,KalimantanSelatan,Kotabaru,Guralp-Minimus+2021-GSM,Stageof-Balikpapan,116.1668,-3.2995
IA,KBSSI,NusaTenggaraTimur,"Kodi Bangedo,Sumba Barat Daya",Quantera-Q8-2023-Idirect,Stageof-Kupang,118.993,-9.593
IA,KCSI,Aceh,"DarulHasanah,AcehTenggara",Guralp-Minimus+2024-Idirect,Stageof-Aceh-Selatan,97.77216,3.52228
IA,KDI,SulawesiTenggara,Kendari,Meisei-G1019-2018-Idirect,Stageof-Kendari,122.6193,-3.9574
IA,KGCM,Gorontalo,"Kwandang,Gorontalo",Nanometrics-Centaur-2019-GSM,Stageof-Gorontalo,123.0099,0.5485
IA,KHK,Bali,Kahang-Kahang,Meisei-G1019-2018-GSM,Stageof-Denpasar,115.6096,-8.364
IA,KHSSI,NusaTenggaraTimur,"KatalaHamuLingu,SumbaTimur",Quantera-Q8-2023-Idirect,Stageof-Kupang,119.945,-9.801
IA,KIMPI,Papua,"Kimaam,Merauke",Quantera-Q8-2023-Idirect,Stageof-Angkasa,138.852,-7.979
IA,KJCM,SulawesiSelatan,Kelara,Kinemetrics-Q330S+2020-Idirect,Stageof-Gowa,119.8025,-5.5664
IA,KKJM,Yogyakarta,"Kokap,KulonProgo",Nanometrics-Centaur-2023-GSM,Stageof-Sleman,110.057248,-7.843384
IA,KKKI,KalimantanBarat,Kendawangan,Nanometrics-Centaur6-2019-GSM,Stageof-Sleman,110.1956,-2.515
IA,KKKKI,KalimantanTengah,"Katingan-Kuala,Katingan",Nanometrics-Centaur-2022-Idirect,Stageof-Balikpapan,113.419801,-1.871143
IA,KKMI,Maluku,"Kei-Kecil,MalukuTenggara",Nanometrics-Centaur6-2019-Idirect,Stageof-Maluku-Tenggara-Barat,132.7179,-5.693
IA,KKSI,SulawesiTenggara,Kolaka,Guralp-Minimus+2024-GSM,Stageof-Kendari,121.6513,-4.1717
IA,KKTKI,KalimantanTimur,"Kombeng,Kutai-Timur",Nanometrics-Centaur-2022-Idirect,Stageof-Balikpapan,116.949317,1.186094
IA,KLI,Lampung,Kotabumi,Guralp-Minimus+2021-GSM,Stageof-Lampung-Utara,104.8705,-4.8363
IA,KLJI,JawaTimur,"Klakah,Lumajang",Kinemetrics-Q330S+2019-GSM,Stageof-Malang,113.25175,-7.99607
IA,KLNI,NTB,"Mataram,Plombok",Guralp-Minimus+2021-GSM,Stageof-Mataram,116.0949,-8.4219
IA,KLSI,Lampung,Kotabumi,Rsensor-NDAS-8426-2025-VSATPSN,Stageof-Lampung-Utara,104.7317,-4.6871
IA,KLSM,Aceh,"Kluet-Utara,Aceh-Selatan",Nanometrics-Centaur-2019-GSM,Stageof-Aceh-Selatan,97.3158,3.2211
IA,KMBFM,NTT,"Kuwus,ManggaraiBarat",Kinemetrics-Q330S+2020-GSM,Stageof-Kupang,120.3131,-8.5654
IA,KMMI,JawaTimur,Kalianget,Guralp-Minimus+2021-GSM,Stageof-Pasuruan,113.9157,-7.0412
IA,KMNI,NTB,Kota-Mataram,Guralp-Minimus-2021-Idirect,Stageof-Mataram,116.08918,-8.620637
IA,KMPI,PapuaBarat,Kaimana,Guralp-Minimus+2021-Idirect,Stageof-Sorong,133.7044,-3.6617
IA,KMSI,SulawesiUtara,Kotamubagu,Nanometrics-Centaur-2023-GSM,Stageof-Manado,123.8907,0.5745
IA,KOMFI,NusaTenggaraTimur,"Komodo,Manggarai Barat",Quantera-Q8-2023-Idirect,Stageof-Kupang,119.547,-8.536
IA,KORPI,PapuaBarat,"Kofiau,RajaAmpat",Quantera-Q8-2023-Idirect,Stageof-Sorong,129.845,-1.158
IA,KPJI,JawaTengah,Karang-Pucung,Nanometrics-Centaur-2023-GSM,Stageof-Banjarnegara,108.9312,-7.3332
IA,KPJM,JawaTimur,"Kapas,Bojonegoro",Nanometrics-Centaur-2019-GSM,Stageof-Nganjuk,111.9281,-7.1883
IA,KRAI,Maluku,"Kairatu,SeramBagianBarat",Guralp-Minimus+2021-GSM,Stageof-Ambon,128.3947,-3.3184
IA,KRJI,Jambi,Kerinci,Guralp-Minimus+2021-GSM,Stageof-Kepahiang,101.4619,-2.0912
IA,KRMJI,JawaTengah,"Karimunjawa,Jepara",Guralp-Minimus+2024-Idirect,Stageof-Banjarnegara,110.4342,-5.86854
IA,KRSI,SulawesiBarat,Karosa,Guralp-Minimus+2024-Idirect,Stageof-Palu,119.5627,-1.8903
IA,KSI,Bengkulu,Kepahiang,Meisei-G1019-2018-Idirect,Stageof-Kepahiang,102.5929,-3.651
IA,KSPJI,JawaTengah,"Kutasari,Purbalingga",Guralp-Minimus+2024-Idirect,Stageof-Banjarnegara,109.2656,-7.29321
IA,KTMI,Maluku,"Kormomolin,Kepulauan-Tanimbar",Nanometrics-Centaur6-2019-Libra,Stageof-Maluku-Tenggara-Barat,131.58,-7.66
IA,KTTI,NTT,"Kolbano,Timor-TengahSelatan",Nanometrics-Centaur6-2019-Libra,Stageof-Kupang,124.5163,-10.0369
IA,KUBSI,SulawesiTenggara,"Kulisusu,ButonUtara",Quantera-Q8-2023-Idirect,Stageof-Kendari,123.18684,-4.78121
IA,KUKI,KalimantanTimur,Kutai-Barat,Guralp-Minimus-2021-Idirect,Stageof-Balikpapan,115.662491,-0.084665
IA,KUSI,Aceh,"Kluet-Tengah,AcehSelatan",Nanometrics-Centaur6-2019-GSM,Stageof-Aceh-Selatan,97.374397,3.6579
IA,KWJI,JawaTengah,"Kertek,Wonosobo",Kinemetrics-Q330S+2019-GSM,Stageof-Banjarnegara,109.9691,-7.3837
IA,LAPSI,SulawesiTengah,"LoreBarat,Poso",Guralp-Minimus+2024-Idirect,Stageof-Palu,120.2361,-1.8706
IA,LASI,Aceh,Langsa,Guralp-Minimus+2021-GSM,Stageof-Deli-Serdang,97.9704,4.4573
IA,LBDSI,SulawesiTengah,"Labuan,Donggala",Guralp-Minimus+2024-Idirect,Stageof-Palu,119.8596,-0.62032
IA,LBFI,NTT,Labuhan-Bajo,Guralp-Minimus+2023-GSM,Stageof-Alor,119.8921,-8.48
IA,LBMI,MalukuUtara,"Labuha,HalmaheraSelatan",Guralp-Minimus+2024-Idirect,Stageof-Ternate,127.500816,-0.637849
IA,LBNFM,NTB,Lambu,Kinemetrics-Q330S+2020-GSM,Stageof-Mataram,119.0121,-8.6018
IA,LBTSI,SumateraBarat,"Lintau Buo Utara,Tanah Datar",Quantera-Q8-2023-Idirect,Stageof-Padang-Panjang,100.625,-0.475
IA,LDSI,SumateraUtara,Sukandebi,Nanometrics-Centaur-2019-GSM,Stageof-Deli-Serdang,98.160522,2.88948
IA,LEM,JawaBarat,Lembang,Kinemetrics-Q330S+2023-GSM-CTBTO,Stageof-Bandung,107.6175,-6.8266
IA,LEMFI,NusaTenggaraTimur,"Lembor, Manggarai Barat",Quantera-Q8-2023-Idirect,Stageof-Kupang,120.172,-8.707
IA,LESM,Lampung,"Lemong,Pesisir-Barat",Nanometrics-Centaur-2019-GSM,Stageof-Lampung-Utara,103.7124,-4.9616
IA,LHMI,Aceh,Lhokseumawe,Kinemetrics-Q330-2007-GSM,Stageof-Aceh-Besar,96.9469,5.2286
IA,LHSI,SumateraSelatan,"PulauPinang,Lahat",Guralp-Minimus+2024-Idirect,Stageof-Lampung-Utara,103.5234,-3.82667
IA,LHSM,SumateraSelatan,"Semendo,Lahat",Nanometrics-Centaur-2019-GSM,Stageof-Lampung-Utara,103.5742079,-4.1779734
IA,LISM,Aceh,"Lingge-Isaq,Aceh-Tengah",Nanometrics-Centaur-2019-GSM,Stageof-Aceh-Besar,97.1822,4.3166
IA,LJPI,Papua,"Lereh,Jayapura",Nanometrics-Centaur-2019-Libra,Stageof-Jayapura,139.945,-3.1271
IA,LKCI,SulawesiTenggara,"Lasusua,Lasusua",Nanometrics-Centaur-2019-GSM,Stageof-Kendari,120.8858,-3.492
IA,LKSM,SumateraBarat,"Suliki,Limapuluh-Koto",Nanometrics-Centaur-2019-GSM,Stageof-Padang-Panjang,100.6,0.1847
IA,LKUCM,SulawesiTenggara,Langgikima,Kinemetrics-Q330S+2020-GSM,Stageof-Kendari,122.192,-3.302
IA,LLSI,SumateraSelatan,"Lubuk-LinggauBarat,Kota-Lubuk-Linggau",Kinemetrics-Q330S+2019-GSM,Stageof-Lampung-Utara,102.9139,-3.27843
IA,LLSM,Lampung,"Limau,Tanggamus",Nanometrics-Centaur-2019-GSM,Stageof-Lampung-Utara,104.80943,-5.60039
